,Mean,Std
Subset Accuracy,0.5170731707317072,0.016494904203156503
Hamming Loss,0.14216027874564457,0.007068582603810892
Micro Precision,0.3950243825889192,0.015806702242465408
Micro Recall,0.6706732642398229,0.025878455846193645
Micro F1,0.49697097653584044,0.015938543997386978
Macro F1,0.49036336688261917,0.01543605090437231
Fold,3.0,1.5811388300841898
