,Binary Relevance,Classifier Chains
Subset Accuracy,0.5203252032520326,0.5170731707317072
Hamming Loss,0.12947735191637624,0.14216027874564457
Micro Precision,0.42409420388983465,0.3950243825889192
Micro Recall,0.6591216285647511,0.6706732642398229
Micro F1,0.5159734502684372,0.49697097653584044
Macro F1,0.5156462022377395,0.4903633668826191
