Subset Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro F1,Fold,Order
0.4889663182346109,0.15586527293844368,0.3654080389768575,0.6666666666666666,0.47206923682140045,0.47079040542714934,1,"[1, 4, 2, 0, 3]"
0.5331010452961672,0.14355400696864112,0.3909677419354839,0.6748329621380846,0.4950980392156863,0.48740058596407954,2,"[1, 4, 2, 0, 3]"
0.5238095238095238,0.13821138211382114,0.39915966386554624,0.6319290465631929,0.4892703862660944,0.4851545118118027,3,"[1, 4, 2, 0, 3]"
0.5203252032520326,0.13612078977932637,0.41245136186770426,0.70509977827051,0.5204582651391162,0.5150015832139678,4,"[1, 4, 2, 0, 3]"
0.5110336817653891,0.13867595818815331,0.4037184594953519,0.672566371681416,0.5045643153526971,0.4910045132835412,5,"[1, 4, 2, 0, 3]"
