,Mean,Std_across_orders
Subset Accuracy,0.520766550522648,0.0026358978200292835
Hamming Loss,0.14095702671312427,0.0016954657704644214
Micro Precision,0.39773095005472237,0.0036074473495594284
Micro Recall,0.6707511973282235,0.0033470300888443815
Micro F1,0.4991781217710264,0.0023698747614459854
Macro F1,0.49737014770009613,0.005205656043446454
