,Mean,Std
Subset Accuracy,0.5163763066202091,0.018319855194546198
Hamming Loss,0.14634146341463414,0.00859308771804595
Micro Precision,0.3863414779311286,0.018765383528661056
Micro Recall,0.6728895867861648,0.028110531653847384
Micro F1,0.4906277658976065,0.019665287318183514
Macro F1,0.4851379465188616,0.01820020233492535
