,Mean,Std
Subset Accuracy,0.5170731707317073,0.017506567880526618
Hamming Loss,0.14564459930313592,0.008409019447107062
Micro Precision,0.38778992410906216,0.01878942654605083
Micro Recall,0.6728886013217648,0.027417149325383992
Micro F1,0.49181781501533156,0.01979676096872508
Macro F1,0.4862401897407664,0.018127463152224535
