OrderIndex,Subset Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro F1
1,0.5203252032520325,0.14202090592334496,0.3957350867382119,0.6737745425383773,0.49845587647194173,0.5030949676393905
2,0.51869918699187,0.1424390243902439,0.39478496023069504,0.6742160043394463,0.4978179298376463,0.4905314126863919
3,0.521486643437863,0.14034843205574915,0.39899687301937303,0.6697764828274059,0.49992815297952103,0.5018926328149523
4,0.5203252032520325,0.1421138211382114,0.3957370545362582,0.6764303471486607,0.4991846102031829,0.49288886175507385
5,0.5166085946573752,0.14285714285714285,0.3933595483542801,0.6702199461679121,0.49558059121166664,0.49033290842709754
6,0.5240418118466899,0.13932636469221835,0.40071268264517046,0.6662258152040208,0.5002965256059267,0.4986981819042512
7,0.5226480836236933,0.1391869918699187,0.4016648448534205,0.6697774376520345,0.5019629719769523,0.5006423407205529
8,0.5233449477351917,0.13872241579558653,0.4023854632347607,0.6657764521876344,0.501432340072581,0.5029193013539119
9,0.5170731707317073,0.1430429732868757,0.3929307847527666,0.6706565024492904,0.4954130105468133,0.4925460528460059
10,0.5231126596980256,0.1395121951219512,0.40100220218228744,0.6706584427674536,0.5017092088040315,0.5001548168533341
