,Mean,Std_across_all_runs
Subset Accuracy,0.5207665505226481,0.01453650720453163
Hamming Loss,0.14095702671312427,0.0064153685775495
Micro Precision,0.39773095005472237,0.014921606099289142
Micro Recall,0.6707511973282237,0.01961193119758948
Micro F1,0.4991781217710263,0.014545867635544565
Macro F1,0.49737014770009613,0.014361741725638377
