Subset Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro F1,Fold,OrderIndex,Order,OrderLabels
0.4889663182346109,0.15470383275261324,0.36797066014669927,0.6688888888888889,0.4747634069400631,0.47985601684825596,1,1,"[3, 1, 0, 2, 4]","['Negative', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Vague']"
0.5365853658536586,0.14099883855981418,0.39766839378238344,0.6837416481069042,0.5028665028665029,0.5137963100992865,2,1,"[3, 1, 0, 2, 4]","['Negative', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Vague']"
0.5249709639953543,0.1440185830429733,0.38627187079407804,0.6363636363636364,0.4807370184254606,0.48327478730775636,3,1,"[3, 1, 0, 2, 4]","['Negative', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Vague']"
0.5261324041811847,0.13519163763066203,0.41460234680573665,0.70509977827051,0.5221674876847291,0.5276724783937957,4,1,"[3, 1, 0, 2, 4]","['Negative', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Vague']"
0.5249709639953543,0.13519163763066203,0.41216216216216217,0.6747787610619469,0.511744966442953,0.510875245547858,5,1,"[3, 1, 0, 2, 4]","['Negative', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Vague']"
0.4959349593495935,0.15261324041811847,0.3723797780517879,0.6711111111111111,0.47898493259318004,0.47479093677566747,1,2,"[4, 0, 1, 2, 3]","['Vague', 'Subjective', 'Ambiguous', 'Nonverifiable', 'Negative']"
0.5342624854819977,0.14471544715447154,0.3887468030690537,0.6770601336302895,0.4939073923639318,0.48825846480726665,2,2,"[4, 0, 1, 2, 3]","['Vague', 'Subjective', 'Ambiguous', 'Nonverifiable', 'Negative']"
0.5203252032520326,0.13960511033681766,0.39809782608695654,0.6496674057649667,0.493681550126369,0.48722698018504806,3,2,"[4, 0, 1, 2, 3]","['Vague', 'Subjective', 'Ambiguous', 'Nonverifiable', 'Negative']"
0.5249709639953543,0.13821138211382114,0.4076923076923077,0.70509977827051,0.5166531275385865,0.5105873515477548,4,2,"[4, 0, 1, 2, 3]","['Vague', 'Subjective', 'Ambiguous', 'Nonverifiable', 'Negative']"
0.5180023228803716,0.13704994192799072,0.40700808625336926,0.668141592920354,0.5058626465661642,0.4917933301162227,5,2,"[4, 0, 1, 2, 3]","['Vague', 'Subjective', 'Ambiguous', 'Nonverifiable', 'Negative']"
0.4889663182346109,0.15354239256678281,0.3695920889987639,0.6644444444444444,0.4749801429706116,0.47858310795620457,1,3,"[0, 3, 1, 2, 4]","['Subjective', 'Negative', 'Ambiguous', 'Nonverifiable', 'Vague']"
0.5365853658536586,0.1384436701509872,0.40239043824701193,0.6748329621380846,0.5041597337770383,0.5099357429634579,2,3,"[0, 3, 1, 2, 4]","['Subjective', 'Negative', 'Ambiguous', 'Nonverifiable', 'Vague']"
0.5261324041811847,0.14099883855981418,0.39315068493150684,0.6363636363636364,0.48602878916172737,0.48762628893448073,3,3,"[0, 3, 1, 2, 4]","['Subjective', 'Negative', 'Ambiguous', 'Nonverifiable', 'Vague']"
0.5319396051103368,0.13310104529616726,0.41952506596306066,0.70509977827051,0.5260545905707196,0.5259953167255152,4,3,"[0, 3, 1, 2, 4]","['Subjective', 'Negative', 'Ambiguous', 'Nonverifiable', 'Vague']"
0.5238095238095238,0.1356562137049942,0.41032608695652173,0.668141592920354,0.5084175084175084,0.507322707495103,5,3,"[0, 3, 1, 2, 4]","['Subjective', 'Negative', 'Ambiguous', 'Nonverifiable', 'Vague']"
0.5017421602787456,0.15121951219512195,0.3763837638376384,0.68,0.4845605700712589,0.48000394423301895,1,4,"[4, 1, 0, 2, 3]","['Vague', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Negative']"
0.5331010452961672,0.1456445993031359,0.38618925831202044,0.6726057906458798,0.49065800162469536,0.48681115613561615,2,4,"[4, 1, 0, 2, 3]","['Vague', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Negative']"
0.5203252032520326,0.13960511033681766,0.3978201634877384,0.647450110864745,0.4928270042194093,0.48644238379593985,3,4,"[4, 1, 0, 2, 3]","['Vague', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Negative']"
0.5272938443670151,0.13681765389082462,0.4110824742268041,0.7073170731707317,0.5199674001629991,0.5155310477776567,4,4,"[4, 1, 0, 2, 3]","['Vague', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Negative']"
0.519163763066202,0.1372822299651568,0.40720961281708945,0.6747787610619469,0.507910074937552,0.4956557768331374,5,4,"[4, 1, 0, 2, 3]","['Vague', 'Ambiguous', 'Subjective', 'Nonverifiable', 'Negative']"
0.49361207897793263,0.154006968641115,0.36900369003690037,0.6666666666666666,0.4750593824228028,0.47497211826031444,1,5,"[1, 4, 2, 3, 0]","['Ambiguous', 'Vague', 'Nonverifiable', 'Negative', 'Subjective']"
0.537746806039489,0.1440185830429733,0.38996138996138996,0.6748329621380846,0.49429037520391517,0.4881061082065078,2,5,"[1, 4, 2, 3, 0]","['Ambiguous', 'Vague', 'Nonverifiable', 'Negative', 'Subjective']"
0.5238095238095238,0.1403019744483159,0.3947730398899587,0.6363636363636364,0.4872665534804754,0.4845842458204511,3,5,"[1, 4, 2, 3, 0]","['Ambiguous', 'Vague', 'Nonverifiable', 'Negative', 'Subjective']"
0.5168408826945412,0.13797909407665504,0.40797940797940796,0.7028824833702882,0.5162866449511401,0.5127757420265973,4,5,"[1, 4, 2, 3, 0]","['Ambiguous', 'Vague', 'Nonverifiable', 'Negative', 'Subjective']"
0.5110336817653891,0.13797909407665504,0.4050802139037433,0.6703539823008849,0.505,0.49122632782161724,5,5,"[1, 4, 2, 3, 0]","['Ambiguous', 'Vague', 'Nonverifiable', 'Negative', 'Subjective']"
0.5075493612078978,0.14773519163763066,0.3822784810126582,0.6711111111111111,0.4870967741935484,0.4885579960685142,1,6,"[4, 2, 3, 1, 0]","['Vague', 'Nonverifiable', 'Negative', 'Ambiguous', 'Subjective']"
0.5458768873403019,0.1375145180023229,0.40324763193504737,0.6636971046770601,0.5016835016835017,0.5036518724295568,2,6,"[4, 2, 3, 1, 0]","['Vague', 'Nonverifiable', 'Negative', 'Ambiguous', 'Subjective']"
0.5284552845528455,0.1391405342624855,0.3983516483516483,0.6430155210643016,0.4919423240033927,0.4895765630603416,3,6,"[4, 2, 3, 1, 0]","['Vague', 'Nonverifiable', 'Negative', 'Ambiguous', 'Subjective']"
0.519163763066202,0.1375145180023229,0.40808344198174706,0.6940133037694013,0.5139573070607554,0.5107091865426806,4,6,"[4, 2, 3, 1, 0]","['Vague', 'Nonverifiable', 'Negative', 'Ambiguous', 'Subjective']"
0.519163763066202,0.13472706155632985,0.4116022099447514,0.6592920353982301,0.5068027210884354,0.5009952914201631,5,6,"[4, 2, 3, 1, 0]","['Vague', 'Nonverifiable', 'Negative', 'Ambiguous', 'Subjective']"
0.4994192799070848,0.14982578397212543,0.37888198757763975,0.6777777777777778,0.4860557768924303,0.4878164742750206,1,7,"[4, 0, 3, 1, 2]","['Vague', 'Subjective', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5296167247386759,0.14146341463414633,0.3944591029023747,0.6659242761692651,0.49544324772162385,0.49927314981582127,2,7,"[4, 0, 3, 1, 2]","['Vague', 'Subjective', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5319396051103368,0.13774680603948897,0.40166204986149584,0.6430155210643016,0.49445865302642794,0.4920916725224405,3,7,"[4, 0, 3, 1, 2]","['Vague', 'Subjective', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5296167247386759,0.13403019744483158,0.41688654353562005,0.7006651884700665,0.522746071133168,0.5198875999186654,4,7,"[4, 0, 3, 1, 2]","['Vague', 'Subjective', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5226480836236934,0.13286875725900116,0.41643454038997213,0.661504424778761,0.5111111111111111,0.5041428070708165,5,7,"[4, 0, 3, 1, 2]","['Vague', 'Subjective', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.4959349593495935,0.15261324041811847,0.370138017565872,0.6555555555555556,0.4731355252606255,0.4753846423399528,1,8,"[2, 3, 1, 0, 4]","['Nonverifiable', 'Negative', 'Ambiguous', 'Subjective', 'Vague']"
0.5458768873403019,0.13170731707317074,0.4175977653631285,0.6659242761692651,0.5133047210300429,0.5196512347509803,2,8,"[2, 3, 1, 0, 4]","['Nonverifiable', 'Negative', 'Ambiguous', 'Subjective', 'Vague']"
0.5307781649245064,0.13704994192799072,0.40440165061898214,0.6518847006651884,0.499151103565365,0.4983716059468083,3,8,"[2, 3, 1, 0, 4]","['Nonverifiable', 'Negative', 'Ambiguous', 'Subjective', 'Vague']"
0.519163763066202,0.13635307781649245,0.410761154855643,0.6940133037694013,0.516075845012366,0.5190908968659892,4,8,"[2, 3, 1, 0, 4]","['Nonverifiable', 'Negative', 'Ambiguous', 'Subjective', 'Vague']"
0.5249709639953543,0.13588850174216027,0.40902872777017785,0.661504424778761,0.5054945054945055,0.5020981268658292,5,8,"[2, 3, 1, 0, 4]","['Nonverifiable', 'Negative', 'Ambiguous', 'Subjective', 'Vague']"
0.4878048780487805,0.1537746806039489,0.36977886977886976,0.6688888888888889,0.4762658227848101,0.47779256906440615,1,9,"[1, 3, 4, 2, 0]","['Ambiguous', 'Negative', 'Vague', 'Nonverifiable', 'Subjective']"
0.5342624854819977,0.14099883855981418,0.39577836411609496,0.6681514476614699,0.4971002485501243,0.4947650870677334,2,9,"[1, 3, 4, 2, 0]","['Ambiguous', 'Negative', 'Vague', 'Nonverifiable', 'Subjective']"
0.521486643437863,0.14285714285714285,0.3894878706199461,0.6407982261640798,0.4844928751047779,0.48401985009768655,3,9,"[1, 3, 4, 2, 0]","['Ambiguous', 'Negative', 'Vague', 'Nonverifiable', 'Subjective']"
0.5261324041811847,0.13867595818815331,0.40616966580976865,0.7006651884700665,0.5142392188771359,0.5128168209181364,4,9,"[1, 3, 4, 2, 0]","['Ambiguous', 'Negative', 'Vague', 'Nonverifiable', 'Subjective']"
0.5156794425087108,0.1389082462253194,0.40343915343915343,0.6747787610619469,0.5049668874172185,0.49333593708206713,5,9,"[1, 3, 4, 2, 0]","['Ambiguous', 'Negative', 'Vague', 'Nonverifiable', 'Subjective']"
0.4994192799070848,0.15075493612078977,0.377008652657602,0.6777777777777778,0.48451151707704526,0.4858667639515401,1,10,"[0, 4, 3, 1, 2]","['Subjective', 'Vague', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5319396051103368,0.14006968641114984,0.39705882352941174,0.6614699331848553,0.49624060150375937,0.4997788005777811,2,10,"[0, 4, 3, 1, 2]","['Subjective', 'Vague', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5319396051103368,0.1375145180023229,0.4027586206896552,0.647450110864745,0.4965986394557823,0.4939362836777789,3,10,"[0, 4, 3, 1, 2]","['Subjective', 'Vague', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5284552845528455,0.13519163763066203,0.41415465268676277,0.7006651884700665,0.5205930807248764,0.5165669079015822,4,10,"[0, 4, 3, 1, 2]","['Subjective', 'Vague', 'Negative', 'Ambiguous', 'Nonverifiable']"
0.5238095238095238,0.13403019744483158,0.4140302613480055,0.665929203539823,0.5106022052586938,0.504625328157988,5,10,"[0, 4, 3, 1, 2]","['Subjective', 'Vague', 'Negative', 'Ambiguous', 'Nonverifiable']"
