Fold,Subset Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro F1
1,0.4959349593495935,0.15207897793263642,0.37334159896644314,0.6702222222222222,0.47954138512063754,0.48036245697728946
2,0.5365853658536586,0.1405574912891986,0.39730979712179165,0.6708240534521158,0.4989654326325136,0.5004027926854008
3,0.5260162601626016,0.13988385598141692,0.3966775425331966,0.6432372505543238,0.4907184510569188,0.48871506613487314
4,0.5249709639953541,0.1363066202090592,0.41169370615368583,0.7015521064301552,0.5188740773716476,0.5171633348618373
5,0.5203252032520325,0.13595818815331007,0.4096321054984946,0.6679203539823009,0.5077912626734141,0.5002070878410801
